                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.51285,                0.43108,                 1.0235,                0.93274,                0.94478,                0.97084,                0.81467,                0.61411,                0.44913,                  1.162,              0.0012115,              0.0012115,              0.0012115
                    141,                0.53092,                0.45041,                  1.055,                0.95565,                0.95854,                0.97754,                0.82262,                0.62443,                0.41052,                 1.1598,              0.0012082,              0.0012082,              0.0012082
                    142,                0.52202,                0.46386,                 1.0262,                0.96461,                0.93552,                0.98272,                0.83988,                0.59805,                0.39271,                 1.1415,              0.0012049,              0.0012049,              0.0012049
                    143,                0.54118,                0.46427,                 1.0549,                0.93573,                0.93552,                0.96261,                0.82216,                0.65164,                0.42915,                 1.2006,              0.0012016,              0.0012016,              0.0012016
                    144,                0.53372,                0.47818,                 1.0466,                0.92615,                0.95738,                0.97653,                0.82558,                0.61846,                0.41147,                 1.1525,              0.0011983,              0.0011983,              0.0011983
                    145,                0.52707,                0.44709,                 1.0426,                0.94892,                0.91336,                0.96449,                0.82348,                0.61749,                0.46081,                 1.1741,               0.001195,               0.001195,               0.001195
                    146,                 0.5225,                0.45888,                 1.0476,                0.96645,                0.93762,                 0.9771,                 0.8331,                0.61522,                0.43315,                 1.1555,              0.0011917,              0.0011917,              0.0011917
                    147,                0.50541,                0.42412,                 1.0263,                0.97951,                0.91785,                 0.9728,                0.84177,                0.57804,                0.39935,                 1.1221,              0.0011884,              0.0011884,              0.0011884
                    148,                0.48788,                0.42104,                 1.0105,                0.94301,                 0.9317,                0.96463,                0.82615,                 0.6003,                0.42498,                 1.1761,              0.0011851,              0.0011851,              0.0011851
                    149,                0.51542,                0.42253,                 1.0286,                0.97229,                0.93544,                0.97497,                 0.8317,                0.61162,                0.42324,                 1.1951,              0.0011818,              0.0011818,              0.0011818
                    150,                0.51043,                0.42524,                 1.0352,                0.97202,                0.92618,                0.98348,                0.84272,                0.60077,                0.38845,                 1.1684,              0.0011785,              0.0011785,              0.0011785
                    151,                0.50976,                0.45181,                 1.0338,                 0.9654,                0.94322,                0.97353,                0.82845,                0.62857,                0.42448,                 1.2228,              0.0011752,              0.0011752,              0.0011752
                    152,                0.51403,                 0.4471,                 1.0372,                0.92815,                0.94928,                0.98413,                0.84847,                0.57746,                0.40643,                 1.1426,              0.0011719,              0.0011719,              0.0011719
                    153,                0.51912,                0.45742,                 1.0342,                0.94833,                0.90298,                 0.9623,                0.84065,                0.60052,                0.42854,                 1.1513,              0.0011686,              0.0011686,              0.0011686
